product_category,units_sold,order_count,product_revenue,freight_value,total_value,average_order_category_value,freight_percentage,average_delivery_days,late_delivery_rate,average_review_score,low_review_rate
health_beauty,9465.0,8647,1233131.72,178957.81,1412089.53,163.3,12.67,12.08,8.96,4.23,11.45
watches_gifts,5859.0,5495,1166176.98,98156.14,1264333.12,230.09,7.76,12.81,8.52,4.12,13.7
bed_bath_table,10953.0,9272,1023434.76,201774.5,1225209.26,132.14,16.47,12.99,8.75,4.0,16.03
sports_leisure,8431.0,7530,954852.55,163404.36,1118256.91,148.51,14.61,12.24,7.76,4.23,11.38
computers_accessories,7644.0,6530,888724.61,143999.16,1032723.77,158.15,13.94,13.17,7.7,4.08,14.56
furniture_decor,8160.0,6307,711927.69,168402.23,880329.92,139.58,19.13,13.07,8.48,4.06,15.35
housewares,6795.0,5743,615628.69,142763.56,758392.25,132.06,18.82,11.09,6.95,4.19,11.82
cool_stuff,3718.0,3559,610204.1,81476.79,691680.89,194.35,11.78,12.38,6.83,4.22,11.27
auto,4140.0,3810,578966.65,90488.1,669454.75,175.71,13.52,12.33,8.61,4.15,13.0
garden_tools,4268.0,3448,470495.28,96650.4,567145.68,164.49,17.04,13.63,7.95,4.18,12.25
toys,4030.0,3804,471286.48,75774.58,547061.06,143.81,13.85,11.73,7.52,4.24,11.39
baby,2982.0,2809,400421.84,66305.81,466727.65,166.15,14.21,12.68,9.18,4.1,14.28
perfumery,3340.0,3086,390144.65,53026.98,443171.63,143.61,11.97,11.91,7.39,4.26,11.77
telephony,4430.0,4093,309860.23,69342.39,379202.62,92.65,18.29,12.96,8.53,4.05,14.13
office_furniture,1668.0,1254,268154.31,67057.05,335211.36,267.31,20.0,20.64,9.17,3.64,21.95
stationery,2466.0,2264,223788.69,45786.36,269575.05,119.07,16.98,12.78,7.77,4.3,10.04
pet_shop,1924.0,1688,211695.64,38918.56,250614.2,148.47,15.53,11.37,6.28,4.27,10.65
computers,199.0,177,218684.14,9665.62,228349.76,1290.11,4.23,13.91,7.34,4.22,11.49
musical_instruments,651.0,611,184315.74,17871.38,202187.12,330.91,8.84,13.07,8.84,4.23,11.74
electronics,2729.0,2517,155043.93,45679.16,200723.09,79.75,22.76,12.92,9.81,4.12,13.21
small_appliances,658.0,609,182754.12,15354.35,198108.47,325.3,7.75,10.98,6.24,4.25,11.59
unknown,1537.0,1392,170726.63,26969.06,197695.69,142.02,13.64,12.73,9.12,4.01,17.44
fashion_bags_accessories,1985.0,1820,149329.39,30558.9,179888.29,98.84,16.99,11.23,6.65,4.24,10.16
luggage_accessories,1077.0,1019,138701.63,30076.49,168778.12,165.63,17.82,10.87,5.5,4.37,8.18
consoles_games,1089.0,1018,148003.37,19094.36,167097.73,164.14,11.43,13.77,8.15,4.18,11.1
construction_tools_construction,916.0,736,142108.49,20273.52,162382.01,220.63,12.49,10.86,9.1,4.13,13.27
home_appliances_2,231.0,227,107953.95,10254.57,118208.52,520.74,8.67,13.89,7.05,4.15,12.39
home_construction,596.0,483,81407.57,13614.8,95022.37,196.73,14.33,13.44,8.07,3.99,17.26
home_appliances,754.0,747,78832.48,14469.3,93301.78,124.9,15.51,11.31,6.69,4.21,11.02
furniture_living_room,495.0,414,67350.7,17694.37,85045.07,205.42,20.81,13.86,8.45,4.07,14.18
agro_industry_and_commerce,206.0,177,70566.1,5637.2,76203.3,430.53,7.4,11.43,5.08,4.11,12.43
home_confort,429.0,392,58008.45,8429.77,66438.22,169.49,12.69,13.71,10.46,3.88,18.72
air_conditioning,289.0,246,53323.56,6530.99,59854.55,243.31,10.91,11.88,4.07,4.12,14.05
fixed_telephony,255.0,212,55315.21,4501.33,59816.54,282.15,7.53,12.53,5.19,3.97,16.75
kitchen_dining_laundry_garden_furniture,274.0,241,45531.98,11540.99,57072.97,236.82,20.22,11.83,4.56,4.13,11.3
audio,362.0,348,50570.6,5684.72,56255.32,161.65,10.11,13.47,12.93,3.84,21.74
books_general_interest,537.0,496,45302.15,8880.39,54182.54,109.24,16.39,11.53,6.87,4.53,6.3
small_appliances_home_oven_and_coffee,73.0,72,46589.56,2656.34,49245.9,683.97,5.39,9.93,6.94,4.43,6.94
construction_tools_lights,301.0,242,39957.0,7490.14,47447.14,196.06,15.79,9.83,9.09,4.15,10.46
industry_commerce_and_business,265.0,232,38498.81,7580.53,46079.34,198.62,16.45,10.89,8.23,4.22,10.43
construction_tools_safety,183.0,159,38773.22,3730.8,42504.02,267.32,8.78,11.8,4.4,3.97,17.09
food,499.0,441,28731.15,7063.53,35794.68,81.17,19.73,9.79,9.98,4.33,10.07
market_place,305.0,274,27795.77,5318.61,33114.38,120.86,16.06,12.24,4.74,4.09,12.13
costruction_tools_garden,232.0,190,25096.28,5187.66,30283.94,159.39,17.13,11.87,6.84,4.25,12.11
fashion_shoes,257.0,235,23001.46,4813.37,27814.83,118.36,17.31,15.73,6.38,4.26,11.26
signaling_and_security,197.0,138,21315.05,6477.54,27792.59,201.4,23.31,10.87,5.8,4.12,11.68
art,197.0,195,23657.3,3828.23,27485.53,140.95,13.93,11.26,7.69,4.1,13.99
drinks,361.0,287,21529.84,5441.27,26971.11,93.98,20.17,10.38,6.62,4.24,10.1
furniture_bedroom,103.0,90,19051.8,4327.42,23379.22,259.77,18.51,13.66,7.78,4.26,12.22
books_technical,263.0,256,18702.23,4198.84,22901.07,89.46,18.33,10.63,10.94,4.43,9.41
food_drink,269.0,221,14942.88,4394.89,19337.77,87.5,22.73,10.82,6.33,4.44,4.07
costruction_tools_tools,103.0,97,15903.95,2030.22,17934.17,184.89,11.32,12.21,6.19,4.43,8.51
fashion_male_clothing,125.0,106,10452.33,2062.62,12514.95,118.07,16.48,12.86,4.72,3.82,22.86
christmas_supplies,150.0,125,8737.84,3190.91,11928.75,95.43,26.75,15.37,9.6,4.11,11.38
fashion_underwear_beach,127.0,117,9305.95,1854.07,11160.02,95.38,16.61,14.0,12.82,4.01,16.38
tablets_printing_image,83.0,79,7528.41,1226.2,8754.61,110.82,14.01,12.83,6.33,4.16,12.99
cine_photo,70.0,63,6674.47,1227.71,7902.18,125.43,15.54,10.47,7.94,4.33,11.11
music,38.0,38,6034.35,690.51,6724.86,176.97,10.27,11.66,7.89,4.21,10.53
furniture_mattress_and_upholstery,37.0,37,4323.38,1581.37,5904.75,159.59,26.78,14.43,13.51,3.89,18.92
dvds_blu_ray,61.0,56,4542.59,1227.25,5769.84,103.03,21.27,12.98,7.14,4.2,14.29
party_supplies,42.0,38,4465.19,820.19,5285.38,139.09,15.52,9.0,2.63,4.08,15.79
books_imported,57.0,50,4418.86,732.08,5150.94,103.02,14.21,8.18,4.0,4.44,10.0
portable_kitchen_and_food_preparation_appliances,14.0,13,3933.63,294.42,4228.05,325.23,6.96,8.44,7.69,3.62,23.08
fashio_female_clothing,45.0,36,2634.94,583.5,3218.44,89.4,18.13,13.0,5.56,3.92,16.67
fashion_sport,29.0,26,2094.52,563.03,2657.55,102.21,21.19,10.64,7.69,4.38,7.69
la_cuisine,14.0,13,2054.99,333.55,2388.54,183.73,13.96,7.74,0.0,4.25,16.67
arts_and_craftmanship,24.0,23,1814.01,370.13,2184.14,94.96,16.95,5.8,8.7,4.17,13.04
diapers_and_hygiene,37.0,25,1500.79,545.4,2046.19,81.85,26.65,10.49,4.0,3.96,12.0
flowers,33.0,29,1110.04,488.87,1598.91,55.13,30.58,11.49,3.45,4.39,7.14
gaming_pc,8.0,7,1306.95,123.15,1430.1,204.3,8.61,10.34,0.0,3.43,28.57
home_comfort_2,30.0,24,760.27,410.31,1170.58,48.77,35.05,14.5,16.67,3.83,21.74
cds_dvds_musicals,14.0,12,730.0,224.99,954.99,79.58,23.56,10.92,0.0,4.67,0.0
fashion_childrens_clothes,7.0,7,519.95,78.72,598.67,85.52,13.15,8.82,0.0,5.0,0.0
security_and_services,2.0,2,283.29,41.22,324.51,162.26,12.7,15.14,0.0,2.5,50.0
