purchase_month,total_orders,delivered_orders,delivered_revenue,average_order_value,average_delivery_days,late_delivery_rate,average_review_score
2016-09-01,4,1.0,143.46,143.46,54.81,100.0,1.0
2016-10-01,324,265.0,46490.66,175.44,19.6,1.13,4.01
2016-12-01,1,1.0,19.62,19.62,4.69,0.0,5.0
2017-01-01,800,750.0,127482.37,169.98,12.65,3.07,4.2
2017-02-01,1780,1653.0,271239.32,164.09,13.17,3.21,4.2
2017-03-01,2682,2546.0,414330.95,162.74,12.95,5.58,4.19
2017-04-01,2404,2303.0,390812.4,169.7,14.92,7.86,4.14
2017-05-01,3700,3546.0,566851.4,159.86,11.32,3.61,4.24
2017-06-01,3245,3135.0,490050.37,156.32,12.01,3.86,4.22
2017-07-01,4026,3872.0,566299.08,146.25,11.59,3.43,4.26
2017-08-01,4331,4193.0,645832.36,154.03,11.15,3.32,4.31
2017-09-01,4285,4150.0,701077.49,168.93,11.85,5.2,4.27
2017-10-01,4631,4478.0,751117.01,167.73,11.86,5.29,4.2
2017-11-01,7544,7289.0,1153364.2,158.23,15.16,14.31,3.99
2017-12-01,5673,5513.0,843078.29,152.93,15.39,8.38,4.09
2018-01-01,7269,7069.0,1077887.46,152.48,14.08,6.56,4.11
2018-02-01,6728,6555.0,966168.41,147.39,16.95,15.99,3.88
2018-03-01,7211,7003.0,1120598.24,160.02,16.3,21.36,3.81
2018-04-01,6939,6798.0,1132878.93,166.65,11.5,5.31,4.21
2018-05-01,6873,6749.0,1128774.52,167.25,11.42,8.24,4.24
2018-06-01,6167,6099.0,1011978.29,165.93,9.24,1.36,4.31
2018-07-01,6292,6159.0,1027807.28,166.88,8.96,4.48,4.32
2018-08-01,6512,6351.0,985491.64,155.17,7.73,10.39,4.31
2018-09-01,16,0.0,0.0,,,,
2018-10-01,4,0.0,0.0,,,,
