seller_id,seller_city,seller_state,shipment_count,order_count,product_revenue,freight_value,total_value,average_shipment_value,freight_percentage,average_distance_km,average_delivery_days,late_delivery_rate,average_review_score,low_review_rate
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1124,1124,226987.93,20019.13,247007.06,219.76,8.1,610.37,15.06,11.57,4.15,13.08
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,973,186570.05,51236.64,237806.69,244.41,21.55,543.86,22.34,10.07,3.5,25.44
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1772,1772,196882.12,34338.31,231220.43,130.49,14.85,553.46,14.49,11.0,3.85,18.48
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,348,348,217940.44,12856.58,230797.02,663.21,5.57,1160.89,13.43,4.31,4.19,10.4
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,578,578,190917.14,9916.36,200833.5,347.46,4.94,685.71,13.35,10.21,4.37,9.58
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1311,1311,159816.87,24889.91,184706.78,140.89,13.48,395.87,11.19,7.63,4.18,11.72
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,319,319,165981.49,5992.06,171973.55,539.1,3.48,675.14,11.31,5.64,4.36,8.18
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,910,910,138208.56,33716.4,171924.96,188.93,19.61,588.51,12.39,10.11,4.01,16.96
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1145,1145,139658.69,20619.83,160278.52,139.98,12.86,623.64,11.2,5.94,4.28,9.85
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1261,1261,131836.71,24769.77,156606.48,124.19,15.82,485.43,10.77,7.77,4.2,10.22
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1819,1819,120702.83,27348.11,148050.94,81.39,18.47,595.58,9.63,6.43,3.98,16.12
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1399,1399,106655.71,35057.23,141712.94,101.3,24.74,705.96,15.81,10.58,4.14,13.99
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,503,503,122811.38,11351.5,134162.88,266.73,8.46,564.11,11.93,6.56,4.27,11.07
a1043bafd471dff536d0c462352beb48,ilicinea,MG,702,702,99309.23,31103.51,130412.74,185.77,23.85,530.35,13.65,5.7,4.28,9.43
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,722,722,112461.5,13816.68,126278.18,174.9,10.94,560.27,12.9,9.97,4.31,11.17
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1651,1651,101090.96,24846.03,125936.99,76.28,19.73,608.99,11.59,6.12,4.15,12.93
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,322,322,111126.73,13576.19,124702.92,387.28,10.89,562.56,11.57,6.21,4.01,19.18
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,558,558,112436.18,8498.29,120934.47,216.73,7.03,617.32,15.73,12.19,4.04,17.12
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1064,1064,93407.4,22108.25,115515.65,108.57,19.14,506.16,13.51,5.92,4.19,10.45
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,165,165,79144.9,3886.24,83031.14,503.22,4.68,696.36,11.9,7.88,4.44,7.27
ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,184,184,72926.72,5174.62,78101.34,424.46,6.63,1254.34,15.87,7.61,4.32,10.93
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,699,699,63035.16,14153.39,77188.55,110.43,18.34,557.85,14.16,5.87,3.89,19.04
8581055ce74af1daba164fdbd55a40de,guarulhos,SP,380,380,64011.22,9462.76,73473.98,193.35,12.88,452.43,13.1,10.03,4.31,9.5
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,218,218,68070.0,4317.94,72387.94,332.05,5.96,973.89,13.41,15.6,4.22,10.55
fe2032dab1a61af8794248c8196565c9,campinas,SP,293,293,65689.71,4710.89,70400.6,240.28,6.69,575.52,10.77,8.87,4.39,9.69
de722cd6dad950a92b7d4f82673f8833,recife,PE,337,337,55126.3,9650.29,64776.59,192.22,14.9,1575.4,12.68,4.45,4.3,9.23
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,659,659,50082.6,12404.42,62487.02,94.82,19.85,506.38,9.87,5.16,4.26,9.6
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,SP,325,325,54435.66,7767.09,62202.75,191.39,12.49,610.65,12.71,8.62,4.03,15.22
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,92,92,58991.8,2948.82,61940.62,673.27,4.76,1041.21,18.88,11.96,3.95,19.57
522620dcb18a6b31cd7bdf73665113a9,cascavel,PR,172,172,56690.49,4583.17,61273.66,356.24,7.48,1167.91,15.4,10.47,3.91,18.93
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,382,382,53710.3,7452.64,61162.94,160.11,12.18,541.19,13.9,9.42,4.18,12.11
25c5c91f63607446a97b143d2d535d31,itauna,MG,156,156,54208.78,6945.92,61154.7,392.02,11.36,602.95,14.47,7.05,3.85,19.35
37be5a7c751166fbc5f8ccba4119e043,sao paulo,SP,269,269,54735.55,6021.21,60756.76,225.86,9.91,583.82,10.65,2.6,4.33,9.02
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,247,247,54440.28,5090.21,59530.49,241.01,8.55,628.44,14.27,8.5,4.25,11.02
17f51e7198701186712e53a39c564617,sao paulo,SP,56,56,48019.0,9793.43,57812.43,1032.36,16.94,889.88,23.24,8.93,4.34,8.93
ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,198,198,51478.18,6175.55,57653.73,291.18,10.71,625.67,13.01,6.06,4.2,11.28
b2ba3715d723d245138f291a6fe42594,sao paulo,SP,324,324,49302.18,6294.47,55596.65,171.59,11.32,463.23,14.07,8.95,4.2,11.84
f5a590cf36251cf1162ea35bef76fe84,sao bernardo do campo,SP,113,113,51232.78,4134.18,55366.96,489.97,7.47,627.58,11.74,10.62,4.27,10.62
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,380,380,46368.39,7727.29,54095.68,142.36,14.28,573.9,16.25,16.58,3.95,17.02
