customer_state,country,total_orders,unique_customers,delivered_orders,delivered_revenue,average_order_value,average_delivery_days,late_delivery_rate,average_review_score,repeat_order_rate,average_latitude,average_longitude
SP,Brazil,41746,40302,40501.0,5769703.15,142.46,8.76,5.89,4.25,3.49,-23.167072,-47.048357
RJ,Brazil,12852,12384,12350.0,2055401.57,166.43,15.31,13.47,3.97,3.68,-22.760707,-43.176336
MG,Brazil,11635,11259,11354.0,1818891.67,160.2,12.01,5.61,4.19,3.26,-19.921527,-44.437928
RS,Brazil,5466,5277,5345.0,861472.79,161.17,15.3,7.15,4.18,3.48,-29.715133,-51.944664
PR,Brazil,5045,4882,4923.0,781708.8,158.79,11.99,5.0,4.24,3.25,-24.802047,-50.808006
SC,Brazil,3637,3534,3546.0,595127.78,167.83,14.95,9.76,4.13,2.97,-27.24288,-49.558934
BA,Brazil,3380,3277,3256.0,591137.81,181.55,19.34,14.04,3.93,3.05,-13.038127,-39.456456
DF,Brazil,2140,2075,2080.0,346123.35,166.41,12.97,7.07,4.13,3.08,-15.810267,-47.976556
GO,Brazil,2020,1952,1957.0,334212.35,170.78,15.61,8.18,4.11,3.42,-16.607326,-49.334738
ES,Brazil,2033,1964,1995.0,317657.93,159.23,15.79,12.23,4.08,3.44,-20.155214,-40.474246
PE,Brazil,1652,1609,1593.0,308972.05,193.96,18.45,10.8,4.08,2.78,-8.196345,-35.765807
CE,Brazil,1336,1313,1279.0,266436.77,208.32,21.27,15.32,3.94,1.87,-4.319014,-38.955892
PA,Brazil,975,949,946.0,212023.57,224.13,23.77,12.37,3.91,2.67,-2.459262,-49.145316
MT,Brazil,907,876,886.0,181224.42,204.54,18.06,6.77,4.15,3.53,-14.372277,-55.779292
MA,Brazil,747,726,717.0,147803.55,206.14,21.57,19.67,3.83,3.08,-3.560758,-44.682234
PB,Brazil,536,519,517.0,137838.55,266.61,20.43,11.03,4.08,3.17,-7.086873,-35.651766
MS,Brazil,715,694,701.0,134367.55,191.68,15.62,11.55,4.16,2.94,-20.733306,-54.451534
PI,Brazil,495,482,476.0,105178.19,220.96,19.46,15.97,3.99,2.63,-5.506173,-42.589144
RN,Brazil,485,474,474.0,100714.78,212.48,19.28,10.76,4.15,2.27,-5.838441,-35.945335
AL,Brazil,413,401,397.0,94172.49,237.21,24.54,23.93,3.85,2.91,-9.673093,-36.061403
SE,Brazil,350,342,335.0,70289.13,209.82,21.52,15.22,3.91,2.86,-10.873789,-37.171599
TO,Brazil,280,273,274.0,60007.37,219.0,17.66,12.77,4.15,2.5,-9.710422,-48.374008
RO,Brazil,253,240,243.0,56966.0,234.43,19.37,2.88,4.17,5.53,-10.126848,-62.859952
AM,Brazil,148,143,145.0,27585.47,190.24,26.43,4.14,4.24,3.38,-3.212642,-60.078708
AC,Brazil,81,77,80.0,19575.33,244.69,21.04,3.75,4.09,4.94,-9.908803,-68.056991
AP,Brazil,68,67,67.0,16141.81,240.92,27.19,4.48,4.24,1.47,0.053781,-51.159919
RR,Brazil,46,45,41.0,9039.52,220.48,29.39,12.2,3.9,2.17,2.835059,-60.676253
