dataset,column,missing_count,missing_percentage
olist_order_reviews_dataset,review_comment_title,87656,88.34
olist_order_reviews_dataset,review_comment_message,58247,58.7
olist_orders_dataset,order_delivered_customer_date,2965,2.98
olist_products_dataset,product_category_name,610,1.85
olist_products_dataset,product_name_lenght,610,1.85
olist_products_dataset,product_description_lenght,610,1.85
olist_products_dataset,product_photos_qty,610,1.85
olist_orders_dataset,order_delivered_carrier_date,1783,1.79
olist_orders_dataset,order_approved_at,160,0.16
olist_products_dataset,product_weight_g,2,0.01
olist_products_dataset,product_length_cm,2,0.01
olist_products_dataset,product_height_cm,2,0.01
olist_products_dataset,product_width_cm,2,0.01
